index,X,Y,Z,formation
237,516678.09851031,7502381.43008492,505.0,Turee_Creek_Group
238,515987.75924618,7502401.43070555,504.0,Turee_Creek_Group
239,515687.3100586407,7506092.979791476,538.0,Boolgeeda_Iron_Formation
240,515906.28962533,7506134.93883581,537.0,Boolgeeda_Iron_Formation
241,518548.65998129,7506807.98104373,531.0,Boolgeeda_Iron_Formation
242,519662.73974995,7506929.48759222,527.0,Boolgeeda_Iron_Formation
243,522830.17991646,7507498.02971488,544.0,Boolgeeda_Iron_Formation
244,525794.59007966,7508066.55799619,561.0,Boolgeeda_Iron_Formation
245,531297.25198839,7509264.67816258,595.0,Boolgeeda_Iron_Formation
246,534627.20182426,7510239.69044112,623.0,Boolgeeda_Iron_Formation
247,536718.41772849,7509630.19065823,634.0,Boolgeeda_Iron_Formation
248,535358.02175147,7508351.18076111,607.0,Boolgeeda_Iron_Formation
249,535236.12080613,7507823.178549901,605.0,Boolgeeda_Iron_Formation
250,534444.31059564,7507356.16021755,597.0,Boolgeeda_Iron_Formation
251,532231.09841917,7506036.13034438,580.0,Boolgeeda_Iron_Formation
252,529846.57926472,7505018.11053023,564.0,Boolgeeda_Iron_Formation
253,527157.42773378,7504239.55784044,550.0,Boolgeeda_Iron_Formation
254,525079.51167416,7504086.52889777,540.0,Boolgeeda_Iron_Formation
255,522673.50812505,7503780.50754134,541.0,Boolgeeda_Iron_Formation
256,521754.82893369,7503561.49910282,537.0,Boolgeeda_Iron_Formation
257,520271.90028074,7503274.97976098,521.0,Boolgeeda_Iron_Formation
258,519500.3501477,7503193.48263106,533.0,Boolgeeda_Iron_Formation
259,518363.34063701,7502949.95782564,516.0,Boolgeeda_Iron_Formation
260,517652.70088917,7502787.44062305,522.0,Boolgeeda_Iron_Formation
261,517080.59917109,7502644.35628174,524.0,Boolgeeda_Iron_Formation
262,518363.34063701,7502949.95782564,516.0,Boolgeeda_Iron_Formation
263,518992.72030422994,7503112.47184631,526.0,Boolgeeda_Iron_Formation
264,518548.65998129,7506807.98104373,531.0,Boolgeeda_Iron_Formation
265,518147.55064301006,7506708.46830145,534.0,Boolgeeda_Iron_Formation
266,517281.41869025,7506445.95948529,533.0,Boolgeeda_Iron_Formation
267,561992.06138341,7491548.82850152,570.0,Woongarra_Rhyolite
268,562666.8601065436,7491443.3419782715,574.0,Woongarra_Rhyolite
269,562666.8601065436,7484752.543935566,609.0,Woongarra_Rhyolite
270,560220.02963193,7484672.32778439,594.0,Woongarra_Rhyolite
271,556105.40838185,7485541.79063053,558.0,Woongarra_Rhyolite
272,554049.51136914,7486292.77132805,530.0,Woongarra_Rhyolite
273,552065.19163657,7487418.75032662,525.0,Woongarra_Rhyolite
274,550313.25028618,7488276.7302004,547.0,Woongarra_Rhyolite
275,548918.77998097,7489260.22972542,574.0,Woongarra_Rhyolite
276,548829.42201681,7489528.21012361,581.0,Woongarra_Rhyolite
277,549687.55010577,7490279.22033553,559.0,Woongarra_Rhyolite
278,551421.53808071,7490654.74169289,559.0,Woongarra_Rhyolite
